date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:30:09	30/30	---M--	200	added ('OK')	text/plain	etag:%22900739-1e-5581fe0eb808c%22	http://themes.rokaux.com/robots.txt		(from )
16:30:10	61853/61853	---MCZ	200	added ('OK')	text/html	etag:%2296b564-f19d-56466fec1f1a4%22	http://themes.rokaux.com/unishop/v2.2/template-1/	C:/xampp/htdocs/unishop/unishop/themes.rokaux.com/unishop/v2.2/template-1/index.html	(from )
16:30:10	1583/1583	---M--	200	added ('OK')	image/x-icon	date:Sun,%2004%20Feb%202018%2018:19:55%20GMT	http://themes.rokaux.com/unishop/v2.2/template-1/favicon.ico	C:/xampp/htdocs/unishop/unishop/themes.rokaux.com/unishop/v2.2/template-1/favicon.ico	(from http://themes.rokaux.com/unishop/v2.2/template-1/)
16:30:10	2304/2304	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Feb%202018%2018:19:55%20GMT	http://themes.rokaux.com/unishop/v2.2/template-1/favicon.png	C:/xampp/htdocs/unishop/unishop/themes.rokaux.com/unishop/v2.2/template-1/favicon.png	(from http://themes.rokaux.com/unishop/v2.2/template-1/)
16:30:11	4916/4916	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Feb%202018%2018:19:56%20GMT	http://themes.rokaux.com/unishop/v2.2/template-1/touch-icon-iphone.png	C:/xampp/htdocs/unishop/unishop/themes.rokaux.com/unishop/v2.2/template-1/touch-icon-iphone.png	(from http://themes.rokaux.com/unishop/v2.2/template-1/)
16:30:11	6641/6641	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Feb%202018%2018:19:55%20GMT	http://themes.rokaux.com/unishop/v2.2/template-1/touch-icon-ipad.png	C:/xampp/htdocs/unishop/unishop/themes.rokaux.com/unishop/v2.2/template-1/touch-icon-ipad.png	(from http://themes.rokaux.com/unishop/v2.2/template-1/)
16:30:11	7803/7803	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Feb%202018%2018:19:56%20GMT	http://themes.rokaux.com/unishop/v2.2/template-1/touch-icon-iphone-retina.png	C:/xampp/htdocs/unishop/unishop/themes.rokaux.com/unishop/v2.2/template-1/touch-icon-iphone-retina.png	(from http://themes.rokaux.com/unishop/v2.2/template-1/)
16:30:12	7081/7081	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Feb%202018%2018:19:55%20GMT	http://themes.rokaux.com/unishop/v2.2/template-1/touch-icon-ipad-retina.png	C:/xampp/htdocs/unishop/unishop/themes.rokaux.com/unishop/v2.2/template-1/touch-icon-ipad-retina.png	(from http://themes.rokaux.com/unishop/v2.2/template-1/)
16:30:14	116213/116213	---M--	200	added ('OK')	text/css	date:Sun,%2004%20Feb%202018%2018:20:21%20GMT	http://themes.rokaux.com/unishop/v2.2/template-1/css/vendor.min.css	C:/xampp/htdocs/unishop/unishop/themes.rokaux.com/unishop/v2.2/template-1/css/vendor.min.css	(from http://themes.rokaux.com/unishop/v2.2/template-1/)
16:30:15	158325/158325	---M--	200	added ('OK')	text/css	date:Sun,%2004%20Feb%202018%2018:20:17%20GMT	http://themes.rokaux.com/unishop/v2.2/template-1/css/styles.min.css	C:/xampp/htdocs/unishop/unishop/themes.rokaux.com/unishop/v2.2/template-1/css/styles.min.css	(from http://themes.rokaux.com/unishop/v2.2/template-1/)
